,Unnamed: 0,Id,Label,Degree,Pageranks,Eigencentrality,Package,FinalRiskScore,In_reach,Agg_RS),Agg_RS20),Agg_RS30),Agg_RS50),Agg_RS70)
1845,1845,1845,hyperh2v3-0.9.2,4,3.5e-05,0.0,hyperh v,0.748910918,12,9.094453141999999,9.094453141999999,9.094453141999999,9.094453141999999,7.1125103
1846,1846,1846,brotlipy-0.7.0,9,7.1e-05,0.00336,brotlipy,0.75907948,6,4.270729499,4.270729499,4.270729499,4.270729499,2.927447005
1847,1847,1847,cffi-1.14.4,4,0.000122,0.00158,cffi,0.671641247,2,1.3944304220000001,1.3944304220000001,1.3944304220000001,1.3944304220000001,0.722789175
1848,1848,1848,glidertools-2022.12.13,11,3.5e-05,0.0,glidertools,0.646979151,127,80.80987846099998,80.80987846099998,78.19530427599999,75.25863351499999,39.193137202
1849,1849,1849,gsw-3.6.16.post1,4,5.8e-05,0.00137,gsw- post,0.671641247,2,0.932535154,0.932535154,0.671641247,0.671641247,0.0
1850,1850,1850,netcdf4-1.6.3,31,0.000162,0.01232,netcdf,0.634814664,6,2.4130715599999997,2.4130715599999997,1.369495932,1.369495932,0.734681268
1851,1851,1851,seawater-3.3.4,2,3.8e-05,0.00046,seawater,0.738378655,2,0.999272562,0.999272562,0.738378655,0.738378655,0.738378655
1852,1852,1852,cftime-1.6.2,7,6.9e-05,0.002,cftime,0.734681268,5,1.778256896,1.778256896,0.734681268,0.734681268,0.734681268
1853,1853,1853,hoststats-0.1.1,6,3.5e-05,0.0,hoststats,0.699827729,50,33.30004509999999,33.30004509999999,31.995575564999992,31.995575564999992,19.929247444999998
1854,1854,1854,huaweicloudsdkvss-3.1.36,1,3.5e-05,0.0,huaweicloudsdkvss,0.804392773,39,25.926434162999993,25.926434162999993,25.926434162999993,25.926434162999993,10.959049737999997
1855,1855,1855,graphene-django-permissions-0.1.0,1,3.5e-05,0.0,graphene-django-permissions,0.820800375,17,11.891995119,11.891995119,11.891995119,11.891995119,6.194933111
1856,1856,1856,hpyculator-1.5.4.1,3,6.5e-05,0.00046,hpyculator,0.691089745,3,1.9452333510000002,1.9452333510000002,1.9452333510000002,1.9452333510000002,0.0
1857,1857,1857,rtoml-0.9.0,1,6.2e-05,0.00048,rtoml,0.671641247,1,0.671641247,0.671641247,0.671641247,0.671641247,0.0
1858,1858,1858,gmusicsync-0.1.2,5,3.5e-05,0.0,gmusicsync,0.832013663,62,42.185350146,42.185350146,41.918821124,41.5213743,22.610867612999996
1859,1859,1859,eyed3-0.9.7,4,4.1e-05,0.00046,eyed,0.616072857,8,5.087908360000001,5.087908360000001,5.087908360000001,4.690461536000001,1.653450784
1860,1860,1860,coverage-5.5,2,4.6e-05,0.00048,coverage,0.397446824,2,1.057595627,1.057595627,1.057595627,0.660148803,0.0
1861,1861,1861,google-cloud-billing-1.10.1,4,3.5e-05,0.0,google-cloud-billing,0.779580041,52,36.66560842,36.66560842,36.66560842,36.66560842,21.749599691999997
1862,1862,1862,googleauthentication-0.0.17,7,3.5e-05,0.0,googleauthentication,0.827594775,79,55.43590235200003,55.43590235200003,55.43590235200003,55.43590235200003,31.311660017999994
1863,1863,1863,dbstream-0.1.21,4,3.9e-05,0.00046,dbstream,0.805045708,51,36.068642678,36.068642678,36.068642678,36.068642678,21.824275197
1864,1864,1864,google-api-python-client-1.7.11,7,4.7e-05,0.00091,google-api-python-client,0.654472303,12,8.710562035,8.710562035,8.710562035,8.710562035,6.7933913399999994
1865,1865,1865,google-auth-httplib2-0.0.3,7,6.9e-05,0.00235,google-auth-httplib,0.765015661,10,7.366661654,7.366661654,7.366661654,7.366661654,6.7933913399999994
1866,1866,1866,google-cloud-secret-manager-2.7.2,6,3.9e-05,0.00046,google-cloud-secret-manager,0.757513973,59,41.177042817,41.177042817,41.177042817,41.177042817,22.491439842999995
1867,1867,1867,dacktool-0.0.7,1,4.6e-05,0.00048,dacktool,0.848119322,1,0.848119322,0.848119322,0.848119322,0.848119322,0.848119322
1868,1868,1868,uritemplate-3.0.1,14,0.000134,0.00695,uritemplate,0.689428078,1,0.689428078,0.689428078,0.689428078,0.689428078,0.0
1869,1869,1869,libcst-0.4.9,11,9.7e-05,0.00384,libcst,0.583152547,6,3.939741076,3.939741076,3.939741076,3.939741076,0.763906219
1870,1870,1870,typing-inspect-0.8.0,16,0.000245,0.00696,typing-inspect,0.692557797,4,2.7740861700000004,2.7740861700000004,2.7740861700000004,2.7740861700000004,0.763906219
1871,1871,1871,typing-extensions-3.10.0.2,18,0.000234,0.00894,typing-extensions,0.658811077,1,0.658811077,0.658811077,0.658811077,0.658811077,0.0
1872,1872,1872,gmailapi-0.3.1,10,3.5e-05,0.0,gmailapi,0.831693969,173,117.35770012199988,117.35770012199988,114.74312593699992,113.17987670399991,68.21083468000003
1873,1873,1873,emails-0.6,7,3.8e-05,0.00046,emails,0.665648258,37,25.201590516,25.201590516,24.935061494,24.935061494,14.054893236999998
1874,1874,1874,mail-parser-3.15.0,3,3.8e-05,0.00046,mail-parser,0.899866993,3,2.256578042,2.256578042,2.256578042,2.256578042,1.6582763539999998
1875,1875,1875,maybe-else-0.2.1,5,4.8e-05,0.00251,maybe-else,0.831629078,1,0.831629078,0.831629078,0.831629078,0.831629078,0.831629078
1876,1876,1876,pathmagic-0.3.14,16,4.3e-05,0.00144,pathmagic,0.831132927,103,67.00752311800004,67.00752311800004,64.392948933,63.23066852200001,34.818191086999995
1877,1877,1877,pyiotools-0.3.18,15,3.8e-05,0.00046,pyiotools,0.83106737,122,80.31452893899994,80.31452893899994,77.69995475399995,76.13670552099995,41.87506891100001
1878,1878,1878,pymiscutils-0.3.14,13,4e-05,0.00094,pymiscutils,0.831210821,110,71.85007927600002,71.85007927600002,69.23550509100001,67.67225585800003,38.02642948800001
1879,1879,1879,pysubtypes-0.3.18,24,4.6e-05,0.00196,pysubtypes,0.831085302,84,55.55961790800003,55.55961790800003,53.98861935100002,53.60650195400003,28.515924653999992
1880,1880,1880,premailer-3.10.0,7,7.9e-05,0.00098,premailer,0.724003106,32,21.440077812,21.440077812,21.173548789999998,21.173548789999998,10.959028790999998
1881,1881,1881,moviepy-1.0.3,10,5.1e-05,0.00144,moviepy,0.671870351,42,24.843683151999997,24.843683151999997,23.017425803,22.237262789,10.062809777999998
1882,1882,1882,pydub-0.25.1,5,8.2e-05,0.0024,pydub,0.671641247,1,0.671641247,0.671641247,0.671641247,0.671641247,0.0
1883,1883,1883,pypdf2-3.0.1,12,8.5e-05,0.00555,pypdf,0.690325876,1,0.690325876,0.690325876,0.690325876,0.690325876,0.0
1884,1884,1884,python-docx-0.8.11,6,7.6e-05,0.00235,python-docx,0.781219796,2,1.047748818,1.047748818,0.781219796,0.781219796,0.781219796
1885,1885,1885,imageio-ffmpeg-0.4.8,3,5.4e-05,0.00144,imageio-ffmpeg,0.759924598,1,0.759924598,0.759924598,0.759924598,0.759924598,0.759924598
1886,1886,1886,proglog-0.1.10,3,4.9e-05,0.00098,proglog,0.668247325,2,1.288062661,1.288062661,1.288062661,1.288062661,0.0
1887,1887,1887,case-conversion-2.1.0,2,3.7e-05,0.00055,case-conversion,0.832390492,2,1.214507889,1.214507889,1.214507889,0.832390492,0.832390492
1888,1888,1888,clipboard-0.0.4,2,3.7e-05,0.00055,clipboard,0.812542911,2,1.567804122,1.567804122,1.567804122,1.567804122,1.567804122
1889,1889,1889,colour-0.1.5,9,9.8e-05,0.00429,colour,0.647011602,1,0.647011602,0.647011602,0.647011602,0.647011602,0.0
1890,1890,1890,fuzzywuzzy-0.18.0,18,0.000124,0.00788,fuzzywuzzy,0.726854971,4,2.899921398,2.899921398,2.899921398,2.899921398,2.297161798
1891,1891,1891,html-text-0.5.2,2,3.7e-05,0.00055,html-text,0.794183368,2,1.06071239,1.06071239,0.794183368,0.794183368,0.794183368
1892,1892,1892,msoffcrypto-tool-5.0.1,3,3.7e-05,0.00055,msoffcrypto-tool,0.786197967,6,4.512265773,4.512265773,4.512265773,4.512265773,3.840624526
1893,1893,1893,parsedatetime-2.6,8,8.9e-05,0.00377,parsedatetime,0.743418583,1,0.743418583,0.743418583,0.743418583,0.743418583,0.743418583
1894,1894,1894,prettierfier-1.0.3,1,3.7e-05,0.00055,prettierfier,0.831746129,1,0.831746129,0.831746129,0.831746129,0.831746129,0.831746129
1895,1895,1895,olefile-0.46,5,7.2e-05,0.00238,olefile,0.761452775,1,0.761452775,0.761452775,0.761452775,0.761452775,0.761452775
1896,1896,1896,cursor-1.3.5,2,4e-05,0.00098,cursor,0.821952494,1,0.821952494,0.821952494,0.821952494,0.821952494,0.821952494
1897,1897,1897,infi-systray-0.1.12,2,3.7e-05,0.00048,infi-systray,0.656710673,2,1.057679495,1.057679495,1.057679495,0.656710673,0.0
1898,1898,1898,typepy-1.3.0,10,0.000134,0.00292,typepy,0.743828219,8,6.030389467,6.030389467,6.030389467,6.030389467,5.436630078
1899,1899,1899,gender-guesser-0.4.0,1,3.8e-05,0.0005,gender-guesser,0.794516347,1,0.794516347,0.794516347,0.794516347,0.794516347,0.794516347
1900,1900,1900,pyinstrument-4.4.0,1,3.8e-05,0.0005,pyinstrument,0.625187097,1,0.625187097,0.625187097,0.625187097,0.625187097,0.0
1901,1901,1901,mbstrdecoder-1.1.2,4,9.6e-05,0.00162,mbstrdecoder,0.810147226,2,1.550527025,1.550527025,1.550527025,1.550527025,1.550527025
1902,1902,1902,h5cv-0.1.1,4,3.5e-05,0.0,h cv,0.832032394,7,4.331969791,4.331969791,3.810181977,3.810181977,3.227679618
1903,1903,1903,imgcat-0.5.0,1,4.2e-05,0.00046,imgcat,0.821471713,1,0.821471713,0.821471713,0.821471713,0.821471713,0.821471713
1904,1904,1904,graphql-builder-1.0.0a3,1,3.5e-05,0.0,graphql-builder- a,0.671641247,2,1.269942935,1.269942935,1.269942935,1.269942935,0.0
1905,1905,1905,huaweicloudsdkrms-3.1.36,1,3.5e-05,0.0,huaweicloudsdkrms,0.803064455,39,25.925105844999994,25.925105844999994,25.925105844999994,25.925105844999994,10.957721419999999
1906,1906,1906,html-diff-wrapper-1.0,5,3.5e-05,0.0,html-diff-wrapper,0.695287009,10,7.335975127,7.335975127,7.335975127,7.335975127,5.297405624
1907,1907,1907,diff-match-patch-20200713,5,6.6e-05,0.00233,diff-match-patch,0.957075661,1,0.957075661,0.957075661,0.957075661,0.957075661,0.957075661
1908,1908,1908,genshi-0.7.7,4,6e-05,0.00137,genshi,0.671641247,2,1.4300506080000002,1.4300506080000002,1.4300506080000002,1.4300506080000002,0.758409361
1909,1909,1909,html2text-2020.1.16,11,0.000101,0.00503,html text,0.725200238,1,0.725200238,0.725200238,0.725200238,0.725200238,0.725200238
1910,1910,1910,hugit-0.1.1,9,3.5e-05,0.0,hugit,0.674779671,90,58.57940613200003,58.57940613200003,57.01404269000002,56.29664020100002,25.980674325999992
1911,1911,1911,datasets-2.11.0,23,7.8e-05,0.00368,datasets,0.625855725,71,45.765104001000005,45.765104001000005,44.199740559000006,43.872419576999995,21.416195245999997
