Package,Overall,FinalRiskScore,Score,Id,Label,Degree,Pageranks,Eigencentrality,In_reach
pydub,0.0,0.671641247,76,1882,pydub-0.25.1,5,8.2e-05,0.0024,1
tensorflow-metadata,0.0,0.745719297,82,3664,tensorflow-metadata-1.13.1,5,4e-05,0.001,12
cramjam,0.0,0.650801784,79,10118,cramjam-2.6.2,1,4.2e-05,0.0005,1
maxminddb,0.0,0.746547134,85,6835,maxminddb-2.2.0,3,7.8e-05,0.00144,1
cloudevents,0.0,0.77659522,88,795,cloudevents-1.9.0,3,5.6e-05,0.00094,5
tiktoken,0.0,0.671641247,82,2306,tiktoken-0.3.3,3,3.9e-05,0.00046,29
supervisor,0.0,0.618062041,82,10577,supervisor-4.2.5,2,3.9e-05,0.00046,2
hdfs,0.0,0.770193122,82,6868,hdfs-2.7.0,3,3.5e-05,0.0,30
funcsigs,0.0,0.644259802,73,1768,funcsigs-1.0.2,3,5.8e-05,0.00146,1
pyhive,0.0,0.749354267,85,9872,pyhive-0.6.5,3,4.2e-05,0.00046,5
elastic-transport,0.0,0.699022907,82,4153,elastic-transport-8.4.0,3,0.000129,0.00055,13
sentence-transformers,0.0,0.639837081,71,2997,sentence-transformers-2.2.2,16,5.3e-05,0.00137,112
ml-dtypes,0.0,0.671641247,85,687,ml-dtypes-0.1.0,5,8.2e-05,0.00171,4
pypandoc,0.0,0.726874952,84,1501,pypandoc-1.2.0,4,5e-05,0.00046,4
flask-session,0.0,0.793616364,77,10382,flask-session-0.4.0,5,4.7e-05,0.00139,12
pypika,0.0,0.74549582,78,2356,pypika-0.48.9,2,5e-05,0.00091,1
python-swiftclient,0.0,0.518225382,86,5618,python-swiftclient-4.3.0,4,4.7e-05,0.00144,28
youtube-dl,0.0,0.523191372,80,4925,youtube-dl-2021.12.17,5,7e-05,0.00231,1
hijri-converter,0.0,0.675220291,79,1087,hijri-converter-2.2.4,3,7.3e-05,0.00153,1
looker-sdk,0.0,0.601524518,90,4150,looker-sdk-23.6.0,5,5e-05,0.00046,34
pyhocon,0.0,0.724728534,71,1414,pyhocon-0.3.60,3,7e-05,0.00091,2
cmaes,0.0,0.934951794,73,7411,cmaes-0.9.1,3,4.4e-05,0.00098,2
gcloud,0.0,0.492225148,79,3714,gcloud-0.18.3,6,3.6e-05,0.00046,19
rasterio,0.0,0.589463987,91,1542,rasterio-1.3.6,27,0.000123,0.00745,13
opentracing,0.0,0.754787866,61,6216,opentracing-2.4.0,4,6.2e-05,0.00187,1
cftime,0.0,0.734681268,63,1852,cftime-1.6.2,7,6.9e-05,0.002,5
grpclib,0.0,0.642208289,81,4633,grpclib-0.4.3,7,9.4e-05,0.00237,5
pypdf,0.0,0.690325876,94,1883,pypdf2-3.0.1,12,8.5e-05,0.00555,1
dynaconf,0.0,0.701653788,94,12404,dynaconf-3.1.12,2,4.7e-05,0.00091,1
bottle,0.0,0.671641247,77,1678,bottle-0.12.25,17,0.00025,0.00793,1
sphinxcontrib-jquery,0.0,0.671641247,66,2846,sphinxcontrib-jquery-4.1,2,5.2e-05,0.00063,48
googlemaps,0.0,0.585005615,83,8811,googlemaps-4.10.0,2,4.1e-05,0.00046,28
pyudev,0.0,0.743294627,80,8205,pyudev-0.24.0,1,5e-05,0.00046,1
affine,0.0,0.769111939,72,1551,affine-2.4.0,5,7.5e-05,0.00264,1
hyperopt,0.0,0.671641247,64,1968,hyperopt-0.2.7,16,7.6e-05,0.00368,40
kaleido,0.0,0.661613458,61,4422,kaleido-0.2.1,2,4.4e-05,0.00094,1
fakeredis,0.0,0.568839858,90,4060,fakeredis-1.1.0,4,4.2e-05,0.00046,6
pynamodb,0.0,0.569020768,88,7362,pynamodb-5.4.1,4,4e-05,0.00091,21
pandas-stubs,0.0,0.7327558,88,9366,pandas-stubs-2.0.0.230412,2,4.6e-05,0.00048,2
webob,0.0,0.632476384,77,1673,webob-1.8.7,22,0.000309,0.01093,1
timeout-decorator,0.0,0.704842602,61,12128,timeout-decorator-0.5.0,2,5e-05,0.00094,1
sphinx-autodoc-typehints,0.0,0.657330567,88,12082,sphinx-autodoc-typehints-1.23.4,2,3.7e-05,0.00046,48
jsonmerge,0.0,0.800465581,73,862,jsonmerge-1.8.0,9,5.7e-05,0.00342,21
fake-useragent,0.0,0.655140918,88,1040,fake-useragent-1.1.3,15,0.000121,0.00708,1
paho-mqtt,0.0,0.671641247,73,1290,paho-mqtt-1.6.1,25,0.000358,0.01156,1
msgpack-python,0.0,0.671641247,67,3716,msgpack-python-0.5.6,12,0.000146,0.00569,1
dockerpty,0.0,0.77521473,61,1355,dockerpty-0.4.1,3,4e-05,0.00096,2
click-default-group,0.0,0.799949211,80,3190,click-default-group-1.2.2,5,7e-05,0.0019,2
rx,0.0,0.833949392,70,1210,rx-1.6.3,1,0.00015,0.00092,1
flatten-json,0.0,0.766573887,61,11560,flatten-json-0.1.13,2,6.5e-05,0.00046,2
dash-core-components,0.0,0.694344765,67,693,dash-core-components-2.0.0,4,6.3e-05,0.00214,1
dash-table,0.0,0.564509524,69,695,dash-table-5.0.0,3,6.1e-05,0.00168,1
duckdb,0.0,0.632121447,94,2790,duckdb-0.7.1,2,4.7e-05,0.00091,1
